章节,总词数,新词数,新词密度(%),累计词汇,高频新词
1,866,205,23.7,205,77
2,864,182,21.1,387,53
3,603,96,15.9,483,44
4,734,139,18.9,622,36
5,924,187,20.2,809,45
6,1042,189,18.1,998,53
7,988,127,12.9,1125,30
9,938,200,21.3,1325,52
10,1297,277,21.4,1602,62
11,1160,229,19.7,1831,47
12,1351,313,23.2,2144,58
13,1463,391,26.7,2535,69
14,1311,260,19.8,2795,48
15,1028,213,20.7,3008,40
16,1615,383,23.7,3391,56
17,1332,281,21.1,3672,37
18,1878,416,22.2,4088,51
19,1557,343,22.0,4431,47
20,1613,358,22.2,4789,43
21,1303,252,19.3,5041,28
22,1203,320,26.6,5361,33
23,1489,271,18.2,5632,24
24,1143,246,21.5,5878,13
25,1564,432,27.6,6310,34
26,1591,361,22.7,6671,29
27,1858,434,23.4,7105,38
28,1940,445,22.9,7550,20
29,1917,436,22.7,7986,36
30,1657,366,22.1,8352,39
31,1949,426,21.9,8778,25
32,2295,473,20.6,9251,25
33,2006,477,23.8,9728,21
34,2207,522,23.7,10250,25
35,1613,337,20.9,10587,22
