book,chapter_index,chapter_label,total_tokens,new_words,new_density,cumulative_vocab
FR,1,FR Cap. 1,848,214,25.20,214
FR,2,FR Cap. 2,847,184,21.70,398
FR,3,FR Cap. 3,579,98,16.90,496
FR,4,FR Cap. 4,721,152,21.10,648
FR,5,FR Cap. 5,908,217,23.90,865
FR,6,FR Cap. 6,1014,199,19.60,1064
FR,7,FR Cap. 7,967,141,14.60,1205
FR,8,FR Cap. 8,1115,248,22.20,1453
FR,9,FR Cap. 9,915,207,22.60,1660
FR,10,FR Cap. 10,1281,288,22.50,1948
FR,11,FR Cap. 11,1155,245,21.20,2193
FR,12,FR Cap. 12,1335,341,25.50,2534
FR,13,FR Cap. 13,1445,399,27.60,2933
FR,14,FR Cap. 14,1218,259,21.30,3192
FR,15,FR Cap. 15,994,221,22.20,3413
FR,16,FR Cap. 16,1462,359,24.60,3772
FR,17,FR Cap. 17,1282,298,23.20,4070
FR,18,FR Cap. 18,1687,396,23.50,4466
FR,19,FR Cap. 19,1557,363,23.30,4829
FR,20,FR Cap. 20,1357,357,26.30,5186
FR,21,FR Cap. 21,1292,275,21.30,5461
FR,22,FR Cap. 22,1165,299,25.70,5760
FR,23,FR Cap. 23,1477,291,19.70,6051
FR,24,FR Cap. 24,973,216,22.20,6267
FR,25,FR Cap. 25,1396,423,30.30,6690
FR,26,FR Cap. 26,1422,339,23.80,7029
FR,27,FR Cap. 27,1714,413,24.10,7442
FR,28,FR Cap. 28,1860,457,24.60,7899
FR,29,FR Cap. 29,2055,507,24.70,8406
FR,30,FR Cap. 30,1600,390,24.40,8796
FR,31,FR Cap. 31,1862,425,22.80,9221
FR,32,FR Cap. 32,2217,512,23.10,9733
FR,33,FR Cap. 33,1965,487,24.80,10220
FR,34,FR Cap. 34,1797,461,25.70,10681
FR,35,FR Cap. 35,1508,338,22.40,11019
RA,36,RA Cap. 36,3979,1947,48.90,12966
RA,37,RA Cap. 37,3054,1391,45.50,14357
RA,38,RA Cap. 38,2260,879,38.90,15236
RA,39,RA Cap. 39,3309,1241,37.50,16477
RA,40,RA Cap. 40,3145,1020,32.40,17497
RA,41,RA Cap. 41,2465,818,33.20,18315
RA,42,RA Cap. 42,4081,1274,31.20,19589
RA,43,RA Cap. 43,3677,1076,29.30,20665
RA,44,RA Cap. 44,5059,1377,27.20,22042
RA,45,RA Cap. 45,4356,1207,27.70,23249
RA,46,RA Cap. 46,4793,1211,25.30,24460
RA,47,RA Cap. 47,2258,607,26.90,25067
RA,48,RA Cap. 48,8388,2019,24.10,27086
RA,49,RA Cap. 49,2838,679,23.90,27765
RA,50,RA Cap. 50,6641,1462,22.00,29227
RA,51,RA Cap. 51,3541,816,23.00,30043
RA,52,RA Cap. 52,7170,1439,20.10,31482
RA,53,RA Cap. 53,4108,872,21.20,32354
RA,54,RA Cap. 54,6108,1198,19.60,33552
RA,55,RA Cap. 55,4750,933,19.60,34485
RA,56,RA Cap. 56,3520,754,21.40,35239
