book,chapter,total_tokens,new_words,new_density,cumulative_vocab,high_freq_new
FR,1,848,214,25.20,214,77
FR,2,847,184,21.70,398,60
FR,3,579,98,16.90,496,40
FR,4,721,152,21.10,648,43
FR,5,908,217,23.90,865,41
FR,6,1014,199,19.60,1064,48
FR,7,967,141,14.60,1205,27
FR,8,1115,248,22.20,1453,65
FR,9,915,207,22.60,1660,55
FR,10,1281,288,22.50,1948,62
FR,11,1155,245,21.20,2193,43
FR,12,1335,341,25.50,2534,60
FR,13,1445,399,27.60,2933,59
FR,14,1218,259,21.30,3192,37
FR,15,994,221,22.20,3413,36
FR,16,1462,359,24.60,3772,42
FR,17,1282,298,23.20,4070,38
FR,18,1687,396,23.50,4466,43
FR,19,1557,363,23.30,4829,43
FR,20,1357,357,26.30,5186,33
FR,21,1292,275,21.30,5461,23
FR,22,1165,299,25.70,5760,34
FR,23,1477,291,19.70,6051,19
FR,24,973,216,22.20,6267,11
FR,25,1396,423,30.30,6690,34
FR,26,1422,339,23.80,7029,25
FR,27,1714,413,24.10,7442,33
FR,28,1860,457,24.60,7899,20
FR,29,2055,507,24.70,8406,31
FR,30,1600,390,24.40,8796,42
FR,31,1862,425,22.80,9221,25
FR,32,2217,512,23.10,9733,22
FR,33,1965,487,24.80,10220,12
FR,34,1797,461,25.70,10681,20
FR,35,1508,338,22.40,11019,19
RA,36,3979,1947,48.90,12966,311
RA,37,3054,1391,45.50,14357,80
RA,38,2260,879,38.90,15236,25
RA,39,3309,1241,37.50,16477,31
RA,40,3145,1020,32.40,17497,33
RA,41,2465,818,33.20,18315,26
RA,42,4081,1274,31.20,19589,41
RA,43,3677,1076,29.30,20665,41
RA,44,5059,1377,27.20,22042,43
RA,45,4356,1207,27.70,23249,23
RA,46,4793,1211,25.30,24460,75
RA,47,2258,607,26.90,25067,16
RA,48,8388,2019,24.10,27086,73
RA,49,2838,679,23.90,27765,4
RA,50,6641,1462,22.00,29227,33
RA,51,3541,816,23.00,30043,15
RA,52,7170,1439,20.10,31482,69
RA,53,4108,872,21.20,32354,26
RA,54,6108,1198,19.60,33552,20
RA,55,4750,933,19.60,34485,18
RA,56,3520,754,21.40,35239,14
