章节,总词数,新词数,新词密度(%),累计词汇,高频新词
36,3979,1947,48.9,1947,311
37,3054,1391,45.5,3338,80
38,2260,879,38.9,4217,25
39,3309,1241,37.5,5458,31
40,3145,1020,32.4,6478,33
41,2465,818,33.2,7296,26
42,4081,1274,31.2,8570,41
43,3677,1076,29.3,9646,41
44,5059,1377,27.2,11023,43
45,4356,1207,27.7,12230,23
46,4793,1211,25.3,13441,75
47,2258,607,26.9,14048,16
48,8388,2019,24.1,16067,73
49,2838,679,23.9,16746,4
50,6641,1462,22.0,18208,33
51,3541,816,23.0,19024,15
52,7170,1439,20.1,20463,69
53,4108,872,21.2,21335,26
54,6108,1198,19.6,22533,20
55,4750,933,19.6,23466,18
56,3520,754,21.4,24220,14
