book,chapter_index,chapter_label,total_tokens,new_words,new_density,cumulative_vocab
FR,1,FR Cap. 1,863,204,23.60,204
FR,2,FR Cap. 2,860,182,21.20,386
FR,3,FR Cap. 3,599,96,16.00,482
FR,4,FR Cap. 4,730,139,19.00,621
FR,5,FR Cap. 5,919,187,20.30,808
FR,6,FR Cap. 6,1038,189,18.20,997
FR,7,FR Cap. 7,984,127,12.90,1124
FR,8,FR Cap. 8,1093,216,19.80,1340
FR,9,FR Cap. 9,935,187,20.00,1527
FR,10,FR Cap. 10,1292,264,20.40,1791
FR,11,FR Cap. 11,1155,224,19.40,2015
FR,12,FR Cap. 12,1345,305,22.70,2320
FR,13,FR Cap. 13,1457,382,26.20,2702
FR,14,FR Cap. 14,1306,255,19.50,2957
FR,15,FR Cap. 15,1023,207,20.20,3164
FR,16,FR Cap. 16,1609,375,23.30,3539
FR,17,FR Cap. 17,1326,274,20.70,3813
FR,18,FR Cap. 18,1870,406,21.70,4219
FR,19,FR Cap. 19,1551,336,21.70,4555
FR,20,FR Cap. 20,1607,355,22.10,4910
FR,21,FR Cap. 21,1297,252,19.40,5162
FR,22,FR Cap. 22,1198,312,26.00,5474
FR,23,FR Cap. 23,1483,270,18.20,5744
FR,24,FR Cap. 24,1139,245,21.50,5989
FR,25,FR Cap. 25,1558,427,27.40,6416
FR,26,FR Cap. 26,1585,360,22.70,6776
FR,27,FR Cap. 27,1851,433,23.40,7209
FR,28,FR Cap. 28,1933,440,22.80,7649
FR,29,FR Cap. 29,1910,434,22.70,8083
FR,30,FR Cap. 30,1651,366,22.20,8449
FR,31,FR Cap. 31,1941,423,21.80,8872
FR,32,FR Cap. 32,2286,470,20.60,9342
FR,33,FR Cap. 33,1999,476,23.80,9818
FR,34,FR Cap. 34,2199,520,23.60,10338
FR,35,FR Cap. 35,1604,336,20.90,10674
RA,36,RA Cap. 36,4002,1022,25.54,22400
RA,37,RA Cap. 37,3080,795,25.81,23195
RA,38,RA Cap. 38,2162,510,23.59,23705
RA,39,RA Cap. 39,3319,804,24.22,24509
RA,40,RA Cap. 40,3139,730,23.26,25239
RA,41,RA Cap. 41,2512,614,24.44,25853
RA,42,RA Cap. 42,4088,1012,24.76,26865
RA,43,RA Cap. 43,3680,866,23.53,27731
RA,44,RA Cap. 44,5160,1195,23.16,28926
RA,45,RA Cap. 45,4454,1028,23.08,29954
RA,46,RA Cap. 46,4899,1103,22.51,31057
RA,47,RA Cap. 47,2254,507,22.49,31564
RA,48,RA Cap. 48,8416,1842,21.89,33406
RA,49,RA Cap. 49,2863,599,20.92,34005
RA,50,RA Cap. 50,6751,1376,20.38,35381
RA,51,RA Cap. 51,3526,750,21.27,36131
RA,52,RA Cap. 52,7228,1312,18.15,37443
RA,53,RA Cap. 53,4126,760,18.42,38203
RA,54,RA Cap. 54,6238,1060,16.99,39263
RA,55,RA Cap. 55,4780,885,18.51,40148
RA,56,RA Cap. 56,3512,695,19.79,40843
