book,chapter,total_tokens,new_words,new_density,cumulative_vocab,high_freq_new
FR,1,863,204,23.60,204,76
FR,2,860,182,21.20,386,53
FR,3,599,96,16.00,482,44
FR,4,730,139,19.00,621,36
FR,5,919,187,20.30,808,45
FR,6,1038,189,18.20,997,53
FR,7,984,127,12.90,1124,30
FR,8,1093,216,19.80,1340,55
FR,9,935,187,20.00,1527,52
FR,10,1292,264,20.40,1791,59
FR,11,1155,224,19.40,2015,47
FR,12,1345,305,22.70,2320,57
FR,13,1457,382,26.20,2702,69
FR,14,1306,255,19.50,2957,48
FR,15,1023,207,20.20,3164,39
FR,16,1609,375,23.30,3539,56
FR,17,1326,274,20.70,3813,36
FR,18,1870,406,21.70,4219,51
FR,19,1551,336,21.70,4555,46
FR,20,1607,355,22.10,4910,43
FR,21,1297,252,19.40,5162,28
FR,22,1198,312,26.00,5474,33
FR,23,1483,270,18.20,5744,24
FR,24,1139,245,21.50,5989,13
FR,25,1558,427,27.40,6416,34
FR,26,1585,360,22.70,6776,29
FR,27,1851,433,23.40,7209,38
FR,28,1933,440,22.80,7649,20
FR,29,1910,434,22.70,8083,36
FR,30,1651,366,22.20,8449,39
FR,31,1941,423,21.80,8872,24
FR,32,2286,470,20.60,9342,24
FR,33,1999,476,23.80,9818,21
FR,34,2199,520,23.60,10338,25
FR,35,1604,336,20.90,10674,22
RA,36,4002,1022,25.54,22400,0
RA,37,3080,795,25.81,23195,0
RA,38,2162,510,23.59,23705,0
RA,39,3319,804,24.22,24509,0
RA,40,3139,730,23.26,25239,0
RA,41,2512,614,24.44,25853,0
RA,42,4088,1012,24.76,26865,0
RA,43,3680,866,23.53,27731,0
RA,44,5160,1195,23.16,28926,0
RA,45,4454,1028,23.08,29954,0
RA,46,4899,1103,22.51,31057,0
RA,47,2254,507,22.49,31564,0
RA,48,8416,1842,21.89,33406,0
RA,49,2863,599,20.92,34005,0
RA,50,6751,1376,20.38,35381,0
RA,51,3526,750,21.27,36131,0
RA,52,7228,1312,18.15,37443,0
RA,53,4126,760,18.42,38203,0
RA,54,6238,1060,16.99,39263,0
RA,55,4780,885,18.51,40148,0
RA,56,3512,695,19.79,40843,0
