章节,总词数,新词数,新词密度(%),累计词汇,高频新词
36,3983,1943,48.8,1943,296
37,3068,1391,45.3,3334,82
38,2154,811,37.7,4145,20
39,3307,1241,37.5,5386,30
40,3127,1028,32.9,6414,23
41,2502,842,33.7,7256,27
42,4073,1258,30.9,8514,40
43,3666,1055,28.8,9569,32
44,5140,1419,27.6,10988,42
45,4437,1222,27.5,12210,28
46,4879,1251,25.6,13461,64
47,2246,595,26.5,14056,14
48,8382,2085,24.9,16141,84
49,2852,670,23.5,16811,4
50,6725,1523,22.6,18334,36
51,3513,812,23.1,19146,16
52,7201,1458,20.2,20604,60
53,4110,832,20.2,21436,27
54,6214,1170,18.8,22606,23
55,4762,969,20.3,23575,19
56,3498,778,22.2,24353,16
