章节,总词数,新词数,新词密度(%),累计词汇,高频新词
1,863,204,23.6,204,76
2,860,182,21.2,386,53
3,599,96,16.0,482,44
4,730,139,19.0,621,36
5,919,187,20.3,808,45
6,1038,189,18.2,997,53
7,984,127,12.9,1124,30
8,1093,216,19.8,1340,55
9,935,187,20.0,1527,52
10,1292,264,20.4,1791,59
11,1155,224,19.4,2015,47
12,1345,305,22.7,2320,57
13,1457,382,26.2,2702,69
14,1306,255,19.5,2957,48
15,1023,207,20.2,3164,39
16,1609,375,23.3,3539,56
17,1326,274,20.7,3813,36
18,1870,406,21.7,4219,51
19,1551,336,21.7,4555,46
20,1607,355,22.1,4910,43
21,1297,252,19.4,5162,28
22,1198,312,26.0,5474,33
23,1483,270,18.2,5744,24
24,1139,245,21.5,5989,13
25,1558,427,27.4,6416,34
26,1585,360,22.7,6776,29
27,1851,433,23.4,7209,38
28,1933,440,22.8,7649,20
29,1910,434,22.7,8083,36
30,1651,366,22.2,8449,39
31,1941,423,21.8,8872,24
32,2286,470,20.6,9342,24
33,1999,476,23.8,9818,21
34,2199,520,23.6,10338,25
35,1604,336,20.9,10674,22
