slug,verdict,total_words,unique_words,anchor_80,anchor_80_cov,anchor_60,anchor_95,cov_cap_1,cov_cap_5,cov_cap_10,cov_cap_15,cov_cap_20,cov_cap_25,cov_cap_30,cov_cap_35,cov_cap_56
beginners_latin_book,post_45_reader,64482,13096,,0,,,0.007,0.0262,0.0538,0.0874,0.118,0.1426,0.1677,0.1954,0.2854
cambridge_1,post_45_reader,33578,6150,,0,,,0.0075,0.0384,0.0665,0.0982,0.1249,0.1436,0.1631,0.1805,0.2392
cambridge_2,post_45_reader,38072,8513,,0,,,0.0085,0.0336,0.0663,0.1025,0.1341,0.1608,0.1915,0.2154,0.3011
cambridge_3,post_45_reader,65709,13501,,0,,,0.0061,0.0253,0.052,0.0869,0.1186,0.1451,0.1764,0.2028,0.3161
cambridge_4,post_45_reader,77529,16378,,0,,,0.0054,0.0218,0.047,0.0772,0.1093,0.135,0.1659,0.1981,0.3172
chickering,post_45_reader,45050,12878,,0,,,0.0088,0.0297,0.062,0.1035,0.1454,0.1781,0.2146,0.2543,0.4519
conversational_latin,post_45_reader,116761,13281,,0,,,0.0052,0.0218,0.0432,0.0727,0.0962,0.1129,0.1319,0.1489,0.2077
diocles_flora,post_45_reader,15694,3891,,0,,,0.0139,0.0599,0.1252,0.1886,0.2406,0.285,0.3362,0.3721,0.4773
dooge_beginners,post_45_reader,86254,14598,,0,,,0.0068,0.0249,0.0506,0.0824,0.1112,0.1328,0.1558,0.1798,0.2696
dooge_beginners_2,post_45_reader,86324,14557,,0,,,0.0068,0.0255,0.051,0.0839,0.1133,0.1351,0.1588,0.1829,0.2738
dooge_beginners_key,post_45_reader,13090,3075,,0,,,0.0189,0.0644,0.1207,0.185,0.2348,0.2689,0.3047,0.3434,0.4576
ecce_romani,post_45_reader,75185,11401,,0,,,0.0081,0.0314,0.0605,0.0946,0.1218,0.1406,0.1609,0.1764,0.2518
ecce_romani_2a,post_45_reader,56187,11112,,0,,,0.0076,0.0305,0.0607,0.0969,0.1314,0.1525,0.1771,0.1982,0.2807
ecce_romani_2b,post_45_reader,67725,13257,,0,,,0.006,0.0245,0.0493,0.0801,0.1073,0.1276,0.1497,0.1694,0.2486
ecce_romani_3,post_45_reader,61339,13348,,0,,,0.0064,0.023,0.0459,0.0769,0.1057,0.1266,0.1535,0.1794,0.3041
ecce_romani_combined,post_45_reader,40712,7173,,0,,,0.0088,0.0399,0.0806,0.1262,0.1592,0.1882,0.219,0.2374,0.3223
fabulae_faciles,post_45_reader,30766,8118,,0,,,0.0081,0.0318,0.0665,0.1059,0.1426,0.1794,0.2162,0.2469,0.3726
forum_lectiones,post_45_reader,41288,8901,,0,,,0.0109,0.0456,0.0916,0.1412,0.1853,0.2181,0.2538,0.2857,0.3774
gwynne,post_45_reader,70194,7855,,0,,,0.0079,0.0304,0.0592,0.0983,0.1329,0.1608,0.1869,0.2153,0.2926
hobbitus,post_45_reader,74622,15013,,0,,,0.0038,0.0175,0.041,0.0708,0.0984,0.1225,0.1547,0.1805,0.3107
illiterati_1,post_45_reader,81110,14785,,0,,,0.0057,0.0207,0.0452,0.0753,0.1045,0.1249,0.1512,0.1748,0.2814
illiterati_2,post_45_reader,67474,14736,,0,,,0.0042,0.017,0.0358,0.062,0.0852,0.1008,0.1232,0.1409,0.2247
intermediate_oral_cicero,post_45_reader,24171,8148,,0,,,0.0095,0.0351,0.0731,0.1161,0.1589,0.1904,0.2268,0.2622,0.3945
latin_first_year_magoffin,post_45_reader,78034,10647,,0,,,0.0081,0.0315,0.0631,0.1,0.1323,0.157,0.1807,0.2043,0.3005
latin_lower_forms,post_45_reader,45594,16689,,0,,,0.0053,0.0207,0.0467,0.0771,0.1058,0.135,0.1698,0.203,0.38
latin_made_simple,post_45_reader,91529,12260,,0,,,0.0077,0.0282,0.0574,0.0981,0.136,0.1646,0.1962,0.2306,0.3467
