slug,verdict,latin_tokens,unique_latin,english_ratio,h50,h60,h70,h75,h80,h85,h90,peak_ch,peak_hyb,peak_tok,peak_frm,teach_ch,teach_cov
beginners_latin_book,difficult,44935,15016,0.3332,32,,,,,,,56,0.5481,0.4458,0.2876,1,0.5644
cambridge_1,english_mixed,21178,5922,0.3802,31,,,,,,,56,0.5461,0.4379,0.2438,3,0.3778
cambridge_2,difficult,25759,8496,0.3386,31,,,,,,,56,0.5521,0.4674,0.304,5,0.4343
cambridge_3,difficult,44322,13954,0.3399,34,,,,,,,56,0.5535,0.4502,0.3175,5,0.4971
cambridge_4,english_mixed,50314,17310,0.3641,43,,,,,,,56,0.5235,0.4196,0.3152,5,0.5429
chickering,challenging,45562,15124,0.0789,8,21,43,,,,,56,0.7438,0.7275,0.437,1,0.6503
conversational_latin,difficult,92164,20153,0.2773,20,,,,,,,56,0.5727,0.4579,0.2254,1,0.5706
diocles_flora,challenging,13612,3723,0.1501,5,14,30,48,,,,56,0.7587,0.7261,0.4872,5,0.32
dooge_beginners,difficult,59533,16413,0.348,19,,,,,,,56,0.5923,0.4848,0.2785,1,0.5828
dooge_beginners_2,difficult,59389,16215,0.3493,18,,,,,,,56,0.5957,0.4867,0.2823,1,0.5706
dooge_beginners_key,english_mixed,8054,2981,0.3937,21,,,,,,,56,0.5867,0.4753,0.468,1,0.3252
ecce_romani,english_mixed,47485,11574,0.3951,17,,,,,,,56,0.582,0.466,0.2551,1,0.5276
ecce_romani_2a,difficult,39626,11928,0.3449,27,,,,,,,56,0.5634,0.4677,0.2968,5,0.5086
ecce_romani_2b,difficult,47260,14948,0.3489,41,,,,,,,56,0.5243,0.4159,0.2729,5,0.4971
ecce_romani_3,difficult,41394,14197,0.3477,43,,,,,,,56,0.5296,0.4248,0.3103,1,0.5031
ecce_romani_combined,english_mixed,24840,6823,0.3899,11,34,,,,,,56,0.6338,0.5548,0.3324,4,0.4683
fabulae_faciles,selected,25968,8878,0.2109,14,34,,,,,,56,0.6605,0.6188,0.3753,1,0.3804
