reader,cap_1_new_cov,cap_2_new_cov,cap_3_new_cov,cap_4_new_cov,cap_5_new_cov,cap_6_new_cov,cap_7_new_cov,cap_8_new_cov,cap_9_new_cov,cap_10_new_cov,cap_11_new_cov,cap_12_new_cov,cap_13_new_cov,cap_14_new_cov,cap_15_new_cov,cap_16_new_cov,cap_17_new_cov,cap_18_new_cov,cap_19_new_cov,cap_20_new_cov,cap_21_new_cov,cap_22_new_cov,cap_23_new_cov,cap_24_new_cov,cap_25_new_cov,cap_26_new_cov,cap_27_new_cov,cap_28_new_cov,cap_29_new_cov,cap_30_new_cov,cap_31_new_cov,cap_32_new_cov,cap_33_new_cov,cap_34_new_cov,cap_35_new_cov,cap_36_new_cov,cap_37_new_cov,cap_38_new_cov,cap_39_new_cov,cap_40_new_cov,cap_41_new_cov,cap_42_new_cov,cap_43_new_cov,cap_44_new_cov,cap_45_new_cov,cap_46_new_cov,cap_47_new_cov,cap_48_new_cov,cap_49_new_cov,cap_50_new_cov,cap_51_new_cov,cap_52_new_cov,cap_53_new_cov,cap_54_new_cov,cap_55_new_cov,cap_56_new_cov
aeneis,12.88,7.98,11.11,8.73,5.71,6.63,3.64,5.67,5.95,7.29,3.57,1.93,2.52,5.22,4.97,2.39,1.21,0.93,2.75,1.64,3.60,4.66,2.09,1.35,1.79,1.25,1.51,0.96,1.04,3.27,0.28,0.95,1.68,1.06,0.34,1.31,1.23,1.78,1.74,1.96,0.40,0.61,0.98,0.10,0.35,0.23,0.00,0.40,0.99,0.09,0.16,0.19,0.16,0.11,0.00,0.55
amphitryo,31.29,25.15,33.33,34.92,18.86,24.10,22.73,24.74,17.86,21.86,21.94,15.06,14.15,21.74,17.13,11.04,10.12,10.56,11.34,11.18,13.96,16.49,13.81,10.81,10.26,7.81,6.53,6.95,4.94,8.17,7.10,7.82,6.24,7.02,5.80,4.88,4.92,4.67,3.91,3.75,4.55,3.18,2.65,1.84,2.80,1.37,1.96,1.86,1.39,1.37,0.97,2.14,1.71,0.88,1.90,0.92
ars_amatoria,42.33,34.97,38.89,33.33,33.14,30.72,31.82,32.47,35.71,41.70,37.76,26.64,28.62,29.13,27.07,22.39,14.17,21.12,25.09,23.68,22.97,21.15,17.57,22.97,19.49,23.12,19.35,9.35,16.88,14.38,17.61,15.40,10.79,17.23,8.19,10.95,11.52,11.11,12.16,12.56,9.90,13.45,7.67,6.87,6.77,5.35,2.93,4.66,2.77,3.93,4.38,4.27,2.80,2.54,2.63,4.44
catilina,44.79,31.29,24.44,30.95,34.29,33.13,28.18,34.54,19.64,33.20,29.59,33.59,22.64,25.22,22.65,22.99,21.46,23.91,25.77,16.12,18.47,22.22,20.08,20.27,21.79,18.44,17.59,14.63,17.92,15.69,20.74,16.82,18.94,12.98,11.95,17.38,9.52,10.67,11.58,9.62,9.50,13.08,11.72,9.67,9.57,8.87,7.82,8.45,9.70,7.31,7.31,12.53,7.79,7.96,6.42,4.44
cena_trimalchionis,36.20,25.77,31.11,35.71,22.86,24.10,19.09,24.74,22.62,28.74,32.65,17.76,15.41,26.96,17.68,9.25,12.55,12.73,13.40,8.22,11.26,16.13,11.72,10.81,8.21,11.88,10.30,7.19,9.09,16.34,7.95,6.16,8.63,6.81,4.10,7.26,3.84,6.22,4.92,5.55,3.56,3.18,2.65,2.61,3.15,3.30,3.42,2.79,3.17,2.10,1.95,2.69,2.65,1.22,1.46,2.22
colloquia_personarum,23.93,17.79,32.22,26.98,9.71,24.70,8.18,14.95,22.62,18.62,3.57,5.79,2.83,8.26,11.05,7.46,18.62,3.11,11.34,8.22,13.96,7.17,4.18,7.66,6.41,6.56,6.53,4.32,2.86,7.19,5.40,3.08,3.12,4.04,8.53,3.93,2.00,2.67,1.88,1.63,0.59,0.98,1.26,0.97,1.17,0.68,3.67,0.60,0.59,1.10,0.97,0.93,0.78,0.33,0.58,0.55
de_bello_gallico,41.72,25.15,22.22,33.33,20.57,28.31,17.27,25.77,23.81,23.89,25.51,32.82,20.44,22.61,16.02,18.21,15.79,14.29,11.68,12.50,11.71,16.85,10.46,11.71,10.51,14.37,14.57,6.71,7.27,9.15,10.23,9.95,12.71,5.32,6.83,7.26,5.99,7.11,7.09,5.87,6.34,5.62,6.00,5.03,3.50,5.01,2.44,4.66,5.15,4.02,2.60,4.64,2.02,2.77,2.19,1.66
de_rerum_natura,45.40,40.49,34.44,33.33,37.71,34.94,35.45,39.18,49.40,48.58,44.90,36.29,27.99,37.83,29.83,33.13,21.46,25.47,27.84,22.70,25.68,26.88,22.59,25.23,24.10,29.06,25.63,20.62,18.18,23.53,23.30,20.62,14.87,19.57,15.36,17.26,18.28,20.67,17.66,16.15,13.86,13.81,13.39,10.83,8.40,7.05,11.25,7.05,9.11,7.95,6.82,9.66,6.39,6.31,7.88,10.54
epitome_historiae_sacrae,50.31,37.42,41.11,53.97,42.86,42.77,40.00,43.81,44.64,53.85,45.92,43.24,31.76,40.87,35.36,31.64,28.74,30.75,30.58,32.57,33.33,34.05,30.13,31.53,32.31,34.06,29.90,31.18,31.69,29.74,29.55,27.96,24.94,16.17,15.36,22.74,24.42,24.89,19.39,18.92,20.20,19.44,16.74,13.64,12.84,12.74,10.02,9.65,13.66,10.51,9.58,9.19,6.85,7.52,9.05,5.73
fabellae_latinae,57.67,47.85,51.11,54.76,55.43,46.39,55.45,47.94,39.29,36.03,36.73,28.96,24.84,27.39,25.41,27.76,19.84,16.46,19.59,15.79,11.71,12.19,7.53,6.76,4.36,1.88,2.26,3.12,1.56,4.58,1.99,0.95,0.72,0.85,2.73,1.55,0.77,0.67,0.87,0.49,0.20,0.49,0.56,0.48,0.47,0.68,0.49,0.67,0.00,0.27,0.97,0.37,0.31,0.22,0.58,0.55
fabulae_syrae,49.08,42.33,44.44,44.44,49.71,45.18,46.36,45.88,57.74,61.94,53.06,45.56,32.70,39.57,37.02,41.79,24.29,26.40,42.61,28.62,33.78,32.97,28.87,35.14,39.49,3.75,10.30,12.95,5.45,10.78,20.17,8.77,12.47,4.89,7.17,18.93,23.35,21.11,20.98,15.82,13.47,13.45,10.32,7.06,7.58,7.51,3.18,6.05,7.92,6.40,4.06,5.11,3.89,5.64,3.80,6.28
sermones_romani,53.99,42.33,42.22,44.44,37.71,38.55,34.55,36.60,36.90,43.72,40.31,26.25,29.25,40.43,35.91,22.09,21.46,31.37,25.09,23.36,28.83,25.81,21.76,23.42,21.79,21.25,21.11,15.83,20.00,29.41,17.33,19.91,14.63,16.81,13.31,15.83,10.14,10.89,10.56,8.65,10.30,7.95,8.93,6.87,6.88,6.83,6.85,6.19,5.74,4.75,5.19,6.04,5.30,4.76,5.40,5.36
