slug,verdict,isbn,year,char_count,word_count_approx,latin_ratio,english_ratio
aeneis,other,9788790696177,,196538,36817,0.103,0.029
amphitryo,other,8799701677,,123360,22679,0.137,0.03
ars_amatoria,other,9788790696182,,271056,43496,0.147,0.03
backup_v150_20260606_113934,other,9781585108640,1990,777116,109538,0.176,0.051
beginners_latin_book,english,,,528274,78570,0.07,0.396
cambridge_1,english,,,263507,36345,0.078,0.369
cambridge_2,english,,,304315,42061,0.12,0.26
cambridge_3,english,,,532229,72894,0.091,0.25
cambridge_4,english,,,604479,86253,0.1,0.281
catilina,other,8790696115,,163936,26006,0.142,0.027
cena_trimalchionis,other,8790696042,,140064,26556,0.109,0.04
chickering,english,,,392091,58419,0.111,0.31
colloquia_personarum,latin,9781585109388,,126162,19136,0.232,0.033
conversational_latin,english,2780863166226,2007,859636,170730,0.083,0.314
de_bello_gallico,other,8799701650,2003,219684,40853,0.114,0.038
de_rerum_natura,other,9788895611280,,256136,37646,0.185,0.031
diocles_flora,latin,,,117862,17076,0.265,0.086
dooge_beginners,english,,,693269,103952,0.057,0.409
dooge_beginners_2,english,,,689903,103804,0.057,0.411
dooge_beginners_key,english,,,89200,14085,0.083,0.352
ecce_romani,english,0801312019,,586027,87424,0.073,0.286
epitome_historiae_sacrae,other,9788895611198,,361964,49630,0.198,0.028
fabellae_latinae,latin,8790696158,,60826,9948,0.239,0.035
fabulae_faciles,other,,,242190,39145,0.092,0.117
fabulae_syrae,other,9788895611297,,260646,39219,0.188,0.034
forum_lectiones,english,9789657698075,2018,439955,53510,0.053,0.385
gwynne,english,,1988,459853,74701,0.059,0.535
hobbitus,mixed,,,521151,75600,0.173,0.153
illiterati_1,english,0415777674,1996,547408,85369,0.05,0.423
illiterati_2,english,0415922100,1999,467596,71856,0.036,0.326
intermediate_oral_cicero,other,,,203719,32785,0.145,0.088
latin_first_year_magoffin,english,,,636721,94919,0.055,0.441
latin_lower_forms,other,,1888,339625,49887,0.184,0.078
latin_made_simple,english,0385413394,,728912,95711,0.072,0.45
latin_natural_method,english,,1957,575127,103604,0.125,0.326
latin_stories_wheelock,mixed,9780865162891,2004,145271,21345,0.102,0.186
new_latin_primer,other,,,540359,68007,0.039,0.162
nunc_loquamur,mixed,9781585103232,,133877,18350,0.112,0.149
nutting_reader,english,,,457710,68380,0.11,0.201
olimpia_daedalus,mixed,9781733005205,,60358,8621,0.152,0.194
olimpia_nicholas,mixed,9781711355900,,52699,7852,0.131,0.171
olimpia_pyramus,mixed,9781986825726,,68603,10196,0.125,0.167
ora_maritima,english,,,254112,39146,0.058,0.515
oxford_1,english,9780199122264,1996,281897,44213,0.073,0.436
oxford_2,english,9780199122271,1997,393957,57081,0.08,0.28
oxford_3,english,,1997,491086,73287,0.077,0.264
pro_patria,mixed,,1907,362585,55329,0.145,0.182
probe,english,,,130,19,0.0,0.316
pugio_bruti,other,,,60163,10318,0.165,0.019
reading_latin_grammar,english,9781107632264,1986,902646,145523,0.061,0.374
reading_latin_study_guide,english,,1979,495323,78573,0.072,0.45
reading_latin_text,english,9781107618701,1986,834851,134362,0.031,0.359
regulus,latin,9780156014045,1946,87283,12609,0.22,0.047
revised_latin_primer,english,9781108012362,1888,534732,72002,0.052,0.395
reynolds_reader,english,,,619428,96098,0.055,0.461
roma_aeterna,other,9781585108640,1990,777116,109538,0.176,0.051
second_year_latin,other,,,231930,36781,0.085,0.153
septimus,english,,,218335,34705,0.039,0.544
sermones_romani,other,8790696077,,184498,29721,0.165,0.027
teach_yourself,english,,1997,291938,45582,0.07,0.407
unus_duo_tres,english,9789657698136,,142236,14806,0.099,0.251
via_latina_easy,mixed,,,430175,61046,0.147,0.172
via_latina_romanorum,other,9788494534621,,330287,51661,0.197,0.067
wheelock_7e,english,9780061997228,1960,1511211,230447,0.041,0.43
wheelock_answer_key,english,,2011,441250,70803,0.065,0.425
wheelock_reader,english,0060935065,2001,856572,125954,0.037,0.362
wileys_real_latin,english,,2014,600986,87348,0.041,0.351
